,CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRASN_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,YEAR.TXT,FULL_STATE,FAIL_QUARTER,FULL_VIN,EXTRACTED_DATE,FUNCTION_,COMPONET,FAILURE,BINNING,VFG,FAILURE_MODE,REPAIR_DATE_1,REPAIR_DATE_2,To_be_Binned,NewOld,New_Failure_Mode,MILEAGE_CLASS,PROD_DATE,VEHICLE_LINE_WERS,VEHICLE_LINE_GSAR,VEHICLE_LINE_GLOBAL,ASSEMBLY_PLANT,WARRANTY_START_DATE
32,1971595,11575300,Ford Motor Company,FORD,ECOSPORT,2018.0,N,03/04/2024,N,0,0,ENGINE AND ENGINE COOLING,Philadelphia,PA,MAJ3P1VE6JC,03/04/2024,03/04/2024,,,"The contact owns a 2018 Ford EcoSport. The contact received notification of NHTSA Campaign Number: 23V905000 (Engine and Engine Cooling) however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The dealer was made aware of the issue and confirmed that parts were not yet available. The manufacturer was made aware of the issue and confirmed that parts were not yet available. The contact had not experienced a failure. VIN tool confirms parts not available.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2018,Pennsylvania,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
33,1971599,11575303,Ford Motor Company,FORD,EDGE,2018.0,N,03/04/2024,N,0,0,ENGINE,Bradenton,FL,2FMPK3K99JB,03/04/2024,03/04/2024,,,Car started to misfire and engine light came on. I took it to the autobody shop and was told I have coolant leakibg unto the combustion chamber and my car needs a new engine!,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2018,Florida,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
34,1971603,11575306,Ford Motor Company,FORD,EXPEDITION,2019.0,N,02/22/2024,N,0,0,EXTERIOR LIGHTING:HEADLIGHTS,Marion,IA,1FMJU2AT2KE,03/04/2024,03/04/2024,70354.0,,"The contact owns a 2019 Ford Expedition. The contact stated that upon inspection, it was discovered that the front driver's side and passenger’s side headlight assemblies had experienced cracks and chips causing moisture to enter headlight assemblies. The cause of the failure was not yet determined. The manufacturer and local dealer were notified of the failure, but no assistance was offered. The contact was concerned that the moisture inside the headlight assemblies would cause the front head lights to eventually fail. The failure mileage was 70,354.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,Junge Automotive Group,,Hiawatha,,,V,,N,N,2019,Iowa,Q1, ,02/22/2024,F8,HEADLIGHTS,WATER LEAK,HEADLIGHTS | WATER LEAK, ~ ,,,,,New,,> 36K,,,,,,
35,1971604,11575307,Ford Motor Company,FORD,FIESTA,2016.0,N,03/04/2024,N,0,0,POWER TRAIN:AUTOMATIC TRANSMISSION,Big Rapids,MI,3FADP4BJ2GM,03/04/2024,03/04/2024,77000.0,,"The contact owns a 2016 Ford Fiesta. The contact stated that while driving at an undisclosed speed, he heard an abnormal sound emanating from underneath the vehicle. No warning lights were illuminated. The vehicle was taken to an independent mechanic, who diagnosed a failure with the transmission, requiring a replacement transmission. The vehicle was not repaired. The manufacturer was not notified of the failure. The failure mileage was 77,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2016,Michigan,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
36,1971607,11575309,Ford Motor Company,FORD,F-150,2020.0,N,02/28/2024,N,0,0,VISIBILITY/WIPER,"Plymouth, IN",IN,1FTEW1EP2LF,03/04/2024,03/04/2024,,,"The windshield wiper did not shut off anymore Ever  20 seconds it went back and forth  once. After searching the internet I found  100s of links related to the same issue with Ford vehicles  and the Multifunction switch  mounted  on the steering wheel. I consider this a safety issue because people try to fix the wiping issue while driving. Also being on the road it could cause damage  to the windshield wiping in a dry environment. Dust and debris  can scratch the screen over time and inhibit  a clear vision while driving. Looking at several  videos it seams that the multifunction switch contacts are prone to corrosion inside the driver cabinet of the vehicle.  Going from  Hot in the sun 130 degree F + to 65 Degree F. The switch connection and contacts are not sealed and open to condensation,creating a corrosive environment. ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2020,Indiana,Q1, ,02/22/2024,F8,WINDSHIELD,POOR VISIBILITY,WINDSHIELD | POOR VISIBILITY, ~ ,,,,,New,,> 36K,,,,,,
37,1971610,11575312,Ford Motor Company,FORD,ESCAPE,2013.0,N,09/05/2022,N,0,0,ENGINE AND ENGINE COOLING,Warren,MI,1FMCU9GX9DU,03/04/2024,03/04/2024,160000.0,,"The contact owns a 2013 Ford Escape. The contact stated when he started the vehicle in the morning, the vehicle was idling roughly, and clouds of white smoke was coming from the exhaust pipe. The contact stated that once the vehicle had warmed up, the smoke would stop. The contact stated no warning light was illuminated. The contact stated that additionally, he would lose forward momentum and he saw that the check engine warning light was illuminated. The contact stated that he checked the vehicle and became aware that the coolant reservoir was consistently low and needed to be refilled. The contact had not taken the vehicle to a local dealer or independent mechanic. The vehicle was not diagnosed nor repaired. The manufacturer was not informed of the failure. The contact researched online and related the failure to Technical Service Bulletin Number: 19-2100 (Engine and Engine Cooling). The failure mileage was approximately 160,000.",EVOQ,N,,N,N,N,,,,,,0.0,,,,,,,,,,,,,,V,,N,N,2013,Michigan,Q3, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
38,1971621,11575321,Ford Motor Company,FORD,F-150,2015.0,N,02/19/2024,N,0,0,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE:TURBO/SUPERCHARGER,Goodyear,AZ,1FTEW1EG5FK,03/04/2024,03/04/2024,127000.0,,"The contact filed the complaint on behalf of the owner of a 2015 Ford F-150. The contact stated that while the owner was driving at an undisclosed speed, the vehicle overheated. The owner refilled the coolant, and the vehicle was driven back to the work location. The vehicle was taken to the dealer where the vehicle was diagnosed with fractured exhaust manifold studs. The failure caused damage to the turbo, the oil and coolant lines. The contact was informed that the exhaust manifold bolts, turbo, and oil and coolant lines needed to be replaced. The vehicle was not repaired. The manufacturer was made aware of the failure and a case was filed. The failure mileage was approximately 127,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,Rodeo Ford ,,Goodyear,AZ,85338.0,V,,N,N,2015,Arizona,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
39,1971627,11575324,Ford Motor Company,FORD,MAVERICK,2023.0,N,03/04/2024,N,0,0,SERVICE BRAKES,Portland,OR,3FTTW8E3XPR,03/04/2024,03/04/2024,,,"Brakes grab unpredictably when slowing to a stop. When car has slowed from higher speeds down to less than 6 mph, the brakes suddenly grab, stopping the vehicle without warning. The degree of grabbing is never the same twice, happens almost every time I stop. It is especially bad after vehicle has been parked for a period of time, and is noticeably worse in moist conditions. I feel that this condition can cause a car behind me to possibly hit me. My FORD dealer has had service tech drive it and confirm this is occurring, but they have thus far been unable to apply a fix. ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2023,Oregon,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
40,1971636,11575332,Ford Motor Company,FORD,EXPLORER,2023.0,N,06/01/2023,N,0,0,SUSPENSION,Fredericksburg,VA,1FMSK8FH4PG,03/04/2024,03/04/2024,3000.0,,"The contact owns a 2023 Ford Explorer. The contact stated there was an unknown part loosened at the front of the vehicle. While driving at unknown speeds, there was an abnormal rattling noise detected from the strut that had become louder over time. There were no warning lights illuminated. The vehicle was taken to the local dealer, where the front-end bolts were tightened. The vehicle was repaired, but the failure recurred. The manufacturer was contacted, opened a case, and referred the contact to the NHTSA Hotline. The contact related the failure to NHTSA Campaign Number: 24V091000 (Suspension, Steering). The approximate failure mileage was 3,000. ",EVOQ,N,,N,N,N,,,,,,0.0,,,,,,,,,Purvis Ford Service,548983000.0,Fredericksburg,VA,22408.0,V,,N,N,2023,Virginia,Q2, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,< 6k,,,,,,
41,1971656,11575344,Ford Motor Company,FORD,FOCUS,2017.0,N,01/01/2024,N,0,0,ENGINE AND ENGINE COOLING,Roseville,MI,1FADP3FEXHL,03/04/2024,03/04/2024,58000.0,,"The contact owns a 2017 Ford Focus. The contact stated while driving 55–60 MPH on an off ramp, the contact had to depress and apply additional pressure to the brake pedal. The engine and oil warning lights were illuminated. The contact called the independent mechanic, who informed the contact to check the oil levels. There was no oil on the dipstick, though the oil had been changed a week prior. The vehicle was towed to the local dealer, where it was diagnosed that the PSI had no pressure, the turbocharger and engine assembly needed to be replaced. The vehicle was not repaired. The dealer and Warranty Company inquired about the oil pump belt status and informed them about the oil pan teardown removal and fees. Additionally, there was debris in the oil pan, the belt was not fractured, and the Warranty Company declined the claim. The vehicle was not repaired. The manufacturer was contacted, who opened a case, but no assistance was provided. The contact stated the failure was related to NHTSA Campaign Number: 23V905000 (Engine and Engine Cooling). The failure mileage was approximately 58,000. ",EVOQ,N,,N,N,N,,,,,,55.0,,,,,,,,,Dean Sellers Inc,2486437500.0,Troy ,MI,48084.0,V,,N,Y,2017,Michigan,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
42,1971658,11575346,Ford Motor Company,FORD,FUSION,2018.0,N,03/01/2024,N,0,0,ENGINE,Corona,CA,3FA6P0HD7JR,03/04/2024,03/04/2024,19000.0,,"The contact owns a 2018 Ford Fusion. The contact stated while driving approximately 36 MPH, the vehicle failed to respond while depressing the accelerator pedal. The check engine warning light was illuminated. The vehicle was driven to a local dealer to be diagnosed. The contact was informed that the engine needed to be repaired or replaced. The vehicle was not repaired. The manufacturer was made aware of the failure. The failure mileage was approximately 19,000.",EVOQ,N,,N,N,N,,,,,,36.0,,,,,,,,,,,,,,V,,N,N,2018,California,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,18K to 24K,,,,,,
43,1971660,11575348,Ford Motor Company,FORD,ESCAPE,2017.0,N,12/22/2023,N,0,0,ENGINE,Vero Beach,FL,1FMCU0G96HU,03/04/2024,03/04/2024,70000.0,,"The contact owns a 2017 Ford Escape. The contact stated that while driving at an undisclosed speed, the check engine warning light illuminated. In addition, the vehicle was shaking. The contact stated that the vehicle was initially driven to the dealer the first time; however, the second time the vehicle was towed to the dealer. The vehicle was towed to the dealer where it was diagnosed with a coolant leak, and it was determined that the engine needed to be replaced. The vehicle was not repaired. The manufacturer was made aware of the failure. The failure mileage was approximately 70,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,Mullinax Ford ,,Vero Beach,FL,32962.0,V,,N,Y,2017,Florida,Q4, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
44,1971667,11575353,Ford Motor Company,FORD,F-150,2017.0,N,02/04/2024,N,0,0,ENGINE AND ENGINE COOLING,League City,TX,1FTEW1EG4HK,03/04/2024,03/04/2024,77000.0,,"The contact owns a 2017 Ford F-150. The contact stated while starting the vehicle, there was an abnormal rattling sound coming from the engine. There was no warning light illuminated. The contact stated that the failure mostly recurred while starting the vehicle, and after the vehicle had been turned off for more than an hour. The vehicle was taken to the dealer, where it was diagnosed that the cam phasers had failed and needed to be replaced. The vehicle was not repaired. The contact related the failure to Ford Campaign Number: 21N03. The manufacturer was notified of the failure and referred the contact to the NHTSA Hotline for assistance. The failure mileage was approximately 77,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,Ron Carter Ford in Alvin,,Alvin,TX,77511.0,V,,N,N,2017,Texas,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
45,1971669,11575355,Ford Motor Company,FORD,EDGE,2013.0,N,01/08/2024,N,0,0,ENGINE,Morrow,GA,2FMDK3K98DB,03/04/2024,03/04/2024,111000.0,,"The contact owns a 2013 Ford Edge. The contact stated while driving approximately 60 MPH, the vehicle lost motive power and stalled. The driver was able to steer the vehicle unto the shoulder and restart the engine. After restarting the vehicle, the vehicle operated normally. The failure had occurred on three separate occasions. The cause of the failure was not yet determined. The local dealer and manufacturer were notified of the failure but no assistance was offered. The failure mileage was 111,000.  ",EVOQ,N,,N,N,N,,,,,,60.0,,,,,,,,,Allan Vigil Ford,,Morrow,GA,,V,,N,N,2013,Georgia,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
46,1971675,11575359,Ford Motor Company,FORD,EXPLORER,2013.0,N,02/04/2024,N,0,0,STRUCTURE,San Saba,TX,1FM5K7F86DG,03/04/2024,03/04/2024,,,"The contact owns a 2013 Ford Explorer. The contact stated while driving 65 MPH, the windshield exterior A-pillar trims detached and were hitting against the vehicle. The contact stated that she pushed the trims back into the original position. Additionally, the contact stated that she noticed that water was leaking inside the vehicle through the windshield, while it was raining and while the vehicle was at the car wash. The dealer and the manufacturer were not notified of the failure. The vehicle was not diagnosed or repaired. The contact received notification of NHTSA Campaign Number: 24V031000 (Structure) however, the part to do the recall repair was not yet available. The failure mileage was unknown. VIN tool confirms parts not available. ",EVOQ,N,,N,N,N,,,,,,65.0,,,,,,,,,,,,,,V,,N,N,2013,Texas,Q1, ,02/22/2024,NOT CLASSIFIED,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
47,1971679,11575363,Ford Motor Company,FORD,EXPLORER,2015.0,N,01/24/2024,N,0,0,ENGINE AND ENGINE COOLING,Cedar Park,TX,1FM5K8GTXFG,03/04/2024,03/04/2024,86500.0,,"The contact owns a 2015 Ford Explorer. The contact stated while driving 65 MPH, the engine overheated. The contact stated that the coolant had leaked from the vehicle. There were no warning lights illuminated. The driver pulled over to the side of the road. The vehicle was towed to the local dealer, where it was diagnosed that the water pump was leaking. The engine had to be removed before accessing the water pump. The vehicle was not repaired. The manufacturer was contacted and referred the contact to the NHTSA Hotline. The failure mileage was approximately 86,500.",EVOQ,N,,N,N,N,,,,,,65.0,,,,,,,,,Covert Ford Inc.,5123454343.0,Austin ,TX,78759.0,V,,N,Y,2015,Texas,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
48,1971680,11575364,Ford Motor Company,FORD,MAVERICK,2023.0,N,02/28/2024,N,0,0,ELECTRICAL SYSTEM,Beckley,WV,3FTTW8E35PR,03/04/2024,03/04/2024,,,"While on the interstate, the vehicle suddenly shut off, leaving the instrument panel fully lit with every warning light. The vehicle was unresponsive and powerless, posing an extremely hazardous situation for myself, passengers and others on the road.  After I was able to get into a safe location I attempted to start the vehicle again. It remained unresponsive for quite some time and the vehicle had to be towed to a dealership.  A quick google search indicates this issue is becoming prevalent in the Ford Maverick.",IVOQ,N,,N,N,N,,,,,,70.0,,,,,,,,,,,,,,V,,N,N,2023,West Virginia,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
49,1971689,11575369,Ford Motor Company,FORD,ECOSPORT,2020.0,N,01/21/2024,N,0,0,ENGINE AND ENGINE COOLING,New Orleans,LA,MAJ3S2KE4LC,03/04/2024,03/04/2024,69827.0,,"The contact owns 2020 Ford Ecosport. The contact stated while driving 70 MPH on a bridge, the low oil pressure, the power train, and the check engine warning lights illuminated. Additionally, the vehicle lost motive power. The contact stated that he continued driving at 15 MPH and pulled into a nearby parking lot. The vehicle was towed to the dealer, where it was diagnosed that the engine needed to be rebuilt or replaced. The dealer determined that the failure was related to NHTSA Campaign Number: 23V905000 (Engine and Engine Cooling) however, the part to do the recall repair was not yet available. The manufacturer was notified of the failure and informed the contact that he would be reimbursed after paying for the repair out-of-pocket. The contact stated that he paid to repair the vehicle. The vehicle was repaired. After the repair, the contact contacted the manufacturer, who informed him that he would be reimbursed in the 2nd quarter of 2024. The contact stated that he did not want to wait until the 2nd quarter of 2024 to be reimbursed. The failure mileage was approximately 69,827.",EVOQ,N,,N,N,N,,,,,,70.0,,,,,,,,, Matt Bowers Ford,,Metairie,LA,70002.0,V,,N,Y,2020,Louisiana,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
50,1971693,11575373,Ford Motor Company,FORD,MAVERICK,2024.0,N,01/01/2024,N,0,0,ENGINE,Chino Valley,AZ,3FTTW8H34RR,03/04/2024,03/04/2024,,," [XXX] , at 75 MPH, the engine quit running. Had to pull over into the left shoulder as the construction on the freeway prevented any other movement. After the truck stopped, I turned off the key and then restarted it. No other problem like this have occurred since (3Months).  There were no warning signs or warning lamps.  Feel free to inspect. Truck has not been inspected. INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)",IVOQ,N,,N,N,N,,,,,,75.0,,,,,,,,,,,,,,V,,N,N,2024,Arizona,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
51,1971696,11575375,Ford Motor Company,FORD,ESCAPE,2020.0,N,03/01/2024,N,0,0,STRUCTURE:BODY,Seymour,IN,1FMCU0H65LU,03/04/2024,03/04/2024,,,the door pops when opening and closing. sometimes gets stuck while opening or closing. looks like the door panel is coming undone from the door.  arm break check. ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2020,Indiana,Q1, ,02/22/2024,F8,DOOR CHECK ARM,BROKEN,DOOR CHECK ARM | BROKEN, ~ ,,,,,New,,> 36K,,,,,,
52,1971697,11575376,Ford Motor Company,FORD,EDGE,2015.0,N,03/20/2023,N,0,0,ENGINE,Newark,DE,2FMTK4J94FB,03/04/2024,03/04/2024,160000.0,,"The contact owns a 2015 Ford Edge. The contact stated while driving at an undisclosed speed, the vehicle independently turned off. The contact heard an abnormal rattling sound coming from the engine compartment. The contact stated that the check engine warning light illuminated but did not remain illuminated. Additionally, the contact stated that sometimes the vehicle failed to start. The contact research and discovered TSB: 22N12; however, the contact was advised that the failure was unable to be duplicated without a fault code being displayed. The vehicle was not diagnosed or repaired by an independent mechanic or dealer. The manufacturer was made aware of the failure. The failure mileage was approximately 160,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2015,Delaware,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
53,1971705,11575382,Ford Motor Company,FORD,F-150,2016.0,N,03/15/2023,N,0,0,POWER TRAIN:AUTOMATIC TRANSMISSION:TORQUE CONVERTER,Savannah,GA,1FTEW1EG2GK,03/04/2024,03/04/2024,96000.0,,"The contact owns a 2016 Ford F-150. The contact stated that while driving on several occasions at various speeds, the vehicle began shaking. Additionally, the contact stated that the check engine warning light illuminated several times during the failure but did not remain illuminated. The vehicle was taken to an independent mechanic where it was diagnosed that the torque converter needed to be replaced. The vehicle was not repaired. The manufacturer was notified of the failure. The failure mileage was approximately 96,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2016,Georgia,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
54,1971709,11575386,Ford Motor Company,FORD,F-150,2018.0,N,03/04/2024,N,0,0,POWER TRAIN,Slidell,LA,1FTEW1E53JF,03/04/2024,03/04/2024,80000.0,,"The contact owns a 2018 Ford F-150. The contact stated that while driving at an undisclosed speed and attempting to accelerate, he observed that the RPM increased quickly however, the vehicle failed to respond. The contact stated that the vehicle then started jerking. The vehicle returned to normal functionality, but the failure became a regular occurrence. No warning lights were illuminated. The vehicle was taken to the dealer, who was unable to determine the cause of the failure. The adaptive transmission was reset. The vehicle was repaired, but the failure reoccurred. The manufacturer was notified of the failure, and a case was opened. The failure mileage was 80,000. ",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2018,Louisiana,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
55,1971710,11575387,Ford Motor Company,LINCOLN,NAVIGATOR,2019.0,N,03/04/2024,N,0,0,BACK OVER PREVENTION,Naperville,IL,5LMJJ3LT2KE,03/04/2024,03/04/2024,,,"The contact owns a 2019 Lincoln Navigator. The contact received notification of NHTSA Campaign Number: 23V598000 (Back Over Prevention) however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The dealer was made aware of the issue and confirmed that parts were not yet available. The manufacturer was made aware of the issue and confirmed that parts were not yet available. The contact had not experienced a failure. Parts distribution disconnect.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2019,Illinois,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
56,1971713,11575390,Ford Motor Company,FORD,FOCUS,2018.0,N,03/04/2024,N,0,0,POWER TRAIN,Fond Du Lac,WI,1FADP3F2XJL,03/04/2024,03/04/2024,20000.0,,"The contact owns a 2018 Ford Focus. The contact stated that while driving at an undisclosed speed and attempting to accelerate, the vehicle briefly shuddered and hesitated. The vehicle returned to normal functionality, but the failure became a regular occurrence. No warning lights were illuminated. The vehicle was not taken to the dealer or an independent mechanic. The vehicle was not repaired. After investigating the failure, the contact related the failure to NHTSA Campaign Number: 18V845000 (Power Train), but the VIN was not included. The manufacturer was notified of the failure but referred the contact to the NHTSA Hotline for assistance. The failure mileage was 20,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2018,Wisconsin,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,18K to 24K,,,,,,
57,1971722,11575397,Ford Motor Company,FORD,F-150,2018.0,N,03/04/2024,N,0,0,ENGINE,Houston,TX,1FTEW1E54JF,03/04/2024,03/04/2024,80000.0,,"The contact owns a 2018 Ford F-150. The contact stated that while driving at an undisclosed speed, the battery warning light illuminated. The vehicle started to decelerate independently. The contact stopped and parked the vehicle; however, the contact turned the vehicle off and the engine was still running. The vehicle was towed to the dealer where it was diagnosed with failed cam phasers. The contact was informed that the repair could not be covered under Customer Satisfaction Program: 21N03. The vehicle was not repaired. The manufacturer was made aware of the failure. The failure mileage was approximately 80,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,Mac Haik Ford ,,Freeway,TX,77024.0,V,,N,Y,2018,Texas,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
58,1971723,11575398,Ford Motor Company,FORD,ESCAPE,2020.0,N,02/16/2024,N,0,0,STRUCTURE:BODY,Brentwood,NH,1FMCU9G6XLU,03/04/2024,03/04/2024,,,Drivers side door was creaking and now the window will not go down. Reading other complaints seems like a weld issue on the door catch. I do not want this to open while I am driving. I have 41k miles so my basic warranty is not in play. Please let me know if there are other warranties that will cover this. ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2020,New Hampshire,Q1, ,02/22/2024,F8,WINDOW,OPENING / CLOSING TROUBLES,WINDOW | OPENING / CLOSING TROUBLES, ~ ,,,,,New,,> 36K,,,,,,
59,1971729,11575404,Ford Motor Company,FORD,ECOSPORT,2018.0,N,10/17/2023,N,0,0,ENGINE AND ENGINE COOLING,Tacoma,WA,MAJ3P1VE5JC,03/04/2024,03/04/2024,87023.0,,"The contact owns a 2018 Ford EcoSport. The contact stated while driving 60-65 MPH, the low oil pressure warning light illuminated, and a chime sounded. Additionally, the vehicle started losing motive power. The contact veered to the side of the road. The vehicle was towed to an independent mechanic, where it was determined that the engine had seized. The vehicle was then towed to the residence and was later towed to the dealer. The dealer determined that the engine had seized and needed to be replaced. The vehicle was not repaired. The contact received notification of NHTSA Campaign Number: 23V905000 (Engine and Engine Cooling); however, the part to do the recall repair was not yet available. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the failure. The failure mileage was approximately 87,023. VIN tool confirms parts not available. ",EVOQ,N,,N,N,N,,,,,,60.0,,,,,,,,,Lakewood Ford Parts,,Lakewood,WA,98499.0,V,,N,Y,2018,Washington,Q4, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
60,1971740,11575413,Ford Motor Company,FORD,ECOSPORT,2020.0,N,03/01/2024,N,0,0,ENGINE AND ENGINE COOLING,Wichita,KS,MAJ3S2GE0LC,03/04/2024,03/04/2024,93000.0,,"The contact owns a 2020 Ford EcoSport. The contact stated while driving 40 MPH, the vehicle jerked and stalled. The contact was unable to pull to the side of the road. The check engine warning light and the low oil pressure warning light were illuminated. The contact shifted into park(P) and restarted the vehicle; however, the vehicle made an abnormal grinding sound. The contact then pulled to the side of the road and the vehicle stalled for a second time. The vehicle failed to restart and was towed to the dealer. The dealer diagnosed that the engine had failed. The dealer informed the contact that the engine needed to be taken apart to determine the cause of the failure. The vehicle was not repaired. The contact became aware that the VIN was included in NHTSA Campaign Number: 23V905000 (Engine and Engine Cooling) however, the part to the recall repair was not yet available. The manufacturer was not notified of the failure. The failure mileage was approximately 93,000.",EVOQ,N,,N,N,N,,,,,,40.0,,,,,,,,,Laird Noller Ford Topeka,,Topeka,KS,66611.0,V,,N,Y,2020,Kansas,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
61,1971742,11575415,Ford Motor Company,FORD,ESCAPE,2020.0,N,12/19/2020,N,0,0,SEATS,Greeley,CO,1FMCU9H98LU,03/04/2024,03/04/2024,,,The driver's seat has something protruding (seat heater?) into your tailbone which causes pain and discomfort.  The constant adjusting to get comfortable (grabbing the steering wheel to pull myself forward) and slower reaction due to pain and numbness  is a hazard waiting to happen.  I have not addressed this with my local dealership as they had my car for 7 weeks and only fixed the recall issue (window switch) and none of the other 5 issues I took it in for.,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2020,Colorado,Q4, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
